name,referentNumber,nameSection,webpageUrl,adressSection,type,address,city
ZNAPZ B.V.,52889300,"ZNAPZ B.V. 4.0  (1) 
Business management consultant in Breda, Netherlands",/url?q=http://www.znapz.com/&sa=U&ved=2ahUKEwiV0cK-5un9AhX_PEQIHXaNBd8QgU96BAgLEAQ&usg=AOvVaw3WCHniDN_q__C21IIiAXoP,"Address: Ceresstraat 1, 4811 CA Breda, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 76 790 1188",Bus,"Ceresstraat 1, 4811 CA Breda",Breda
ZiuZ Research B.V.,53663438,"ZiuZ Visual Intelligence 4.4  (17) 
Software company in Gorredijk, Netherlands",/url?q=http://www.ziuz.com/&sa=U&ved=2ahUKEwjcwYK95un9AhW0JEQIHeMhB3oQgU96BAgJEAQ&usg=AOvVaw1GexyB0lCLdDZrz4wkIwGe,"Address: Stationsweg 3, 8401 DK Gorredijk, NetherlandsHours: Closed ⋅ Opens 8:30 AMPhone: +31 513 460 080",Software company,"Stationsweg 3, 8401 DK Gorredijk",Gorredijk
Zilverline B.V.,34377452,"Zilverline BV 4.6  (5) 
Software company in Amsterdam, Netherlands",/url?q=https://www.zilverline.com/&sa=U&ved=2ahUKEwj2lce85un9AhXTPkQIHdlGAWwQgU96BAgLEAQ&usg=AOvVaw0i5e5w_LBHY93fdE4zLwci,"Address: Cruquiusweg 109F, 1019 AG Amsterdam, NetherlandsHours: Closed ⋅ Opens 8 AMPhone: +31 20 754 2165",Software company,"Cruquiusweg 109F, 1019 AG Amsterdam",Amsterdam
ZIEMANN Cashservice Holding NL B.V.,85804703,"RCCS Valuables BV 4.3  (27) 
Security service in Waddinxveen, Netherlands",,"Address: Coenecoop 530, 2741 PS Waddinxveen, NetherlandsPhone: +31 182 748 900",Security service,"Coenecoop 530, 2741 PS Waddinxveen",Waddinxveen
ZF Services Nederland B.V.,27136592,"ZF Services Nederland B.V. 4.7  (63) 
Auto body parts supplier in Delfgauw, Netherlands",/url?q=http://www.zf.nl/&sa=U&ved=2ahUKEwjCjby65un9AhVrO0QIHd2OCHgQgU96BAgMEAQ&usg=AOvVaw3hnWY2bx_Guu71RacezPx3,"Address: Distributieweg 7, 2645 EG Delfgauw, NetherlandsHours: Closed ⋅ Opens 8 AMPhone: +31 15 270 2350",Auto body parts supplier,"Distributieweg 7, 2645 EG Delfgauw",Delfgauw
Zeton B.V.,6054827,"Zeton B.V. 4.8  (5) 
Manufacturer in Enschede, Netherlands",/url?q=https://www.zeton.com/&sa=U&ved=2ahUKEwjFmLO55un9AhXjI0QIHSO9COQQgU96BAgKEAQ&usg=AOvVaw146vpF1_pS_AC6tX5i1bUF,"Address: Marssteden 206, 7547 TD Enschede, NetherlandsPhone: +31 53 428 4100",Manufacturer,"Marssteden 206, 7547 TD Enschede",Enschede
ZETES B.V.,17073654,"Zetes Nederland 4.1  (23) 
Software company in the Son, North Brabant, Netherlands",/url?q=https://www.zetes.com/nl&sa=U&ved=2ahUKEwjs7Pa45un9AhXMJUQIHTYaAvMQgU96BAgMEAQ&usg=AOvVaw1i9YOqb2XbWjnu52vXZA-m,"Address: Science Park Eindhoven 5202, 5692 EG Son, NetherlandsHours: Closed ⋅ Opens 8:30 AMPhone: +31 40 844 4444",Software company,"Science Park Eindhoven 5202, 5692 EG Son",Son
Zetadec B.V.,52256146,"Zetadec 4.5  (2) 
Research and product development in Wageningen, Netherlands",/url?q=http://www.zetadec.com/&sa=U&ved=2ahUKEwj86cC45un9AhXcIkQIHW7cAZEQgU96BAgLEAQ&usg=AOvVaw1Ap107QZd0sy16XL0obXJW,"Address: Nudepark 73A, 6702 DZ Wageningen, NetherlandsHours: Closed ⋅ Opens 8:30 AMPhone: +31 6 20426959",Research and product development,"Nudepark 73A, 6702 DZ Wageningen",Wageningen
Zest B.V.,56561105,"Zest B.V. 5.0  (2) 
Engineer in the Son, North Brabant, Netherlands",/url?q=http://www.zest-innovate.eu/&sa=U&ved=2ahUKEwil59-35un9AhWHiO4BHdmLDK8QgU96BAgKEAQ&usg=AOvVaw11YA776SPtZz-HPsD08Zxi,"Address: Ekkersrijt 1201, 5692 AG Son, NetherlandsPhone: +31 499 323 280",Eng,"Ekkersrijt 1201, 5692 AG Son",Son
zepp.solutions B.V.,68331401,"zepp.solutions 5.0  (4) 
Manufacturer in Delft, Netherlands",/url?q=https://zepp.solutions/&sa=U&ved=2ahUKEwiP-Ku25un9AhVvMUQIHXeeBpsQgU96BAgLEAQ&usg=AOvVaw3Q8a5k3NbRblxash_wSGCb,"Address: Paardenmarkt 1, 2611 PA Delft, NetherlandsHours: Closed ⋅ Opens 8 AMPhone: +31 15 203 0044",Manufacturer,"Paardenmarkt 1, 2611 PA Delft",Delft
Zenith Energy Amsterdam Terminal B.V.,64731820,"Zenith Energy Amsterdam Terminal B.V. 4.0  (95) 
Logistics service in Amsterdam, Netherlands",/url?q=https://zenithterminals.com/&sa=U&ved=2ahUKEwjzhN205un9AhVROEQIHXKeBaQQgU96BAgLEAQ&usg=AOvVaw331mf-o1tndi6hPNpg4OsV,"Address: Hornweg 10, 1045 AR Amsterdam, NetherlandsHours: Open 24 hoursPhone: +31 20 586 3211",Logistics service,"Hornweg 10, 1045 AR Amsterdam",Amsterdam
Zener Maritime Solutions B.V.,63420228,"Zener Maritime Solutions B.V. 5.0  (4) 
Association or organization",/url?q=http://www.zenermaritime.com/&sa=U&ved=2ahUKEwjQ3qe05un9AhWdHkQIHaXrAfQQgU96BAgKEAQ&usg=AOvVaw2T7UbZLc5M0600pZ5VvF34,"Address: CD Rotterdam, Calandstraat 62, 3016 CD Rotterdam, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 10 760 3236",Association or organization,"CD Rotterdam, Calandstraat 62, 3016 CD Rotterdam",Rotterdam
Zen Home Rentals,70379904,"Zen Home Rentals 4.5  (25) 
Real estate rental agency in Amsterdam, Netherlands",/url?q=http://www.zenhomerentals.nl/&sa=U&ved=2ahUKEwjN4YCz5un9AhUPKUQIHWXFB24QgU96BAgKEAQ&usg=AOvVaw1jo-5gDWMGIAN4vRBSOpgr,"Address: Korsjespoortsteeg 13, 1015 AP Amsterdam, NetherlandsHours: Closed ⋅ Opens 9:30 AM",Real estate rental agency,"Korsjespoortsteeg 13, 1015 AP Amsterdam",Amsterdam
Zelfstroom B.V.,60238828,"Zelfstroom 3.7  (842) 
Solar energy equipment supplier in 's-Hertogenbosch, Netherlands",/url?q=https://www.zelfstroom.nl/%3Futm_source%3Dlocal%26utm_medium%3Dorganic%26utm_campaign%3Dgmb&sa=U&ved=2ahUKEwi6xJmy5un9AhVshe4BHVL4BB0QgU96BAgLEAQ&usg=AOvVaw1PEm8Gj55_lS32JSOPDPvH,"Address: Statenlaan 14, 5223 LA 's-Hertogenbosch, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 85 201 0160",Solar energy equipment supplier,"Statenlaan 14, 5223 LA 's-Hertogenbosch",'s-Hertogenbosch
Zehnder Group Zwolle B.V.,5022293,"Zehnder Group Netherlands 3.7  (26) 
Industry in Zwolle, Netherlands",/url?q=http://www.zehnder.nl/&sa=U&ved=2ahUKEwiY85ux5un9AhXAJ0QIHbgsBhsQgU96BAgLEAQ&usg=AOvVaw0qQKEGQ_PAfwCCTENKdtDI,"Address: Lingenstraat 2, 8028 PM Zwolle, NetherlandsHours: Closed ⋅ Opens 8 AMPhone: +31 38 429 6911",Industry,"Lingenstraat 2, 8028 PM Zwolle",Zwolle
Zeelandia H.J. Doeleman B.V.,22009211,"Zeelandia H.J. Doeleman B.V. 4.5  (51) 
Wholesale grocer",/url?q=http://www.zeelandia.nl/&sa=U&ved=2ahUKEwiP86mv5un9AhWnI0QIHa_nDLkQgU96BAgKEAQ&usg=AOvVaw1cIhNduKGXAm1UnHfsrQL0,"Address: Straalweg 4, 4301 RB Zierikzee, NetherlandsPhone: +31 111 419 000",Wholesale grocer,"Straalweg 4, 4301 RB Zierikzee",Zierikzee
Zeeland Refinery N.V.,22020666,"Zeeland Refinery 4.8  (92) 
Oil refinery in Nieuwdorp, Netherlands",/url?q=http://www.zeelandrefinery.nl/&sa=U&ved=2ahUKEwi9mvKu5un9AhU5PUQIHcyYC2UQgU96BAgMEAQ&usg=AOvVaw3CteW3Ld-DV8hHOOcpdIM4,"Address: Luxemburgweg 1, 4455 TM Nieuwdorp, NetherlandsHours: Closed ⋅ Opens 9 AMPhone: +31 113 619 000",Oil ref,"Luxemburgweg 1, 4455 TM Nieuwdorp",Nieuwdorp
Zazare Diamonds B.V.,33297641,"Zazare Diamonds B.V. 4.3  (27) 
Jeweler in Amsterdam, Netherlands",,"Address: Weteringschans 89, 1017 RZ Amsterdam, Netherlands",Jeweler,"Weteringschans 89, 1017 RZ Amsterdam",Amsterdam
Zanders B.V.,30112147,"Zanders Treasury and Finance Solutions 4.3  (15) 
Consultant in Utrecht, Netherlands",/url?q=https://zandersgroup.com/&sa=U&ved=2ahUKEwjQmdK57uj9AhU4D1kFHTPbBAcQgU96BAgMEAQ&usg=AOvVaw2w3SmaJQkIiiDmar1ISW1C,"Address: Stadsplateau 33, 3521 AZ Utrecht, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 88 991 0200",Consultant,"Stadsplateau 33, 3521 AZ Utrecht",Utrecht
Zalen Pakhuis de Zwijger B.V.,34231791,"Pakhuis de Zwijger 4.3  (966) 
Cultural center",/url?q=http://www.dezwijger.nl/&sa=U&ved=2ahUKEwjO54C57uj9AhWljbAFHd07AEkQgU96BAgLEAQ&usg=AOvVaw1aa_a9lEQq6Acf9JYmVqbE,,Cultural center,,
Zalando Logistics Operations Netherlands B.V.,72853891,"Zalando Logistics Operations Netherlands BV 5.0  (1) 
Warehouse in Bleiswijk, Netherlands",/url?q=http://www.zalando.nl/&sa=U&ved=2ahUKEwisisG47uj9AhUHMlkFHWe3BvQQgU96BAgMEAQ&usg=AOvVaw2bqo9h3JrdMPmzGwoXWxsM,"Address: Klappolder 130, 2665 LP Bleiswijk, NetherlandsHours: Closed ⋅ Opens 6 AM Mon",Warehouse,"Klappolder 130, 2665 LP Bleiswijk",Bleiswijk
Yxion B.V.,27247621,"Yxion BV 4.7  (9) 
Consultant in Amsterdam, Netherlands",/url?q=http://www.werkenbijyxion.nl/&sa=U&ved=2ahUKEwjrjd637uj9AhUdTDABHTqxAvYQgU96BAgLEAQ&usg=AOvVaw0IN2aeUdb7hwbM2JUP4Ugu,"Address: Nesland 1, 1382 MZ Weesp, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 751 2015",Consultant,"Nesland 1, 1382 MZ Weesp",Weesp
YunExpress Supply Chain Solution B.V.,78487633,"YunExpress Supply Chain Solution B.V. 2.2  (35) 
Logistics service in Rozenburg, Netherlands",/url?q=http://www.yunexpresseu.com/&sa=U&ved=2ahUKEwihoJe27uj9AhU4FVkFHTF-CFMQgU96BAgLEAQ&usg=AOvVaw2Dgs8wXz-gauk4ZOUqSuo8,"Address: Changiweg 8, 1437 EP Rozenburg, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 297 893 007",Logistics service,"Changiweg 8, 1437 EP Rozenburg",Rozenburg
YunExpress Europe B.V.,78487811,"YunExpress Europe B.V. 2.6  (10) 
Logistics service in Schiphol, Netherlands",/url?q=https://www.yunexpresseu.com/&sa=U&ved=2ahUKEwj9puS17uj9AhVESDABHaWaAJoQgU96BAgMEAQ&usg=AOvVaw3Mj4_pcvTY_1VuBrhBkNOE,"Address: Schiphol Boulevard 167, 1118 BG Schiphol, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 297 893 007",Logistics service,"Schiphol Boulevard 167, 1118 BG Schiphol",Schiphol
Yunex Traffic B.V.,82015694,"Yunex Traffic B.V. 2.0  (4) 
Mobility equipment supplier in Zoetermeer, Netherlands",/url?q=http://nl.yunextraffic.com/&sa=U&ved=2ahUKEwiX56-17uj9AhWzgYQIHQ83ANQQgU96BAgMEAQ&usg=AOvVaw0fR5zmHmk0tHl27PPm2WuD,"Address: Werner von Siemensstraat 5, 2712 PN Zoetermeer, NetherlandsHours: Closed ⋅ Opens 8 AM Mon",Mobility equipment supplier,"Werner von Siemensstraat 5, 2712 PN Zoetermeer",Zoetermeer
Yuen Law Firm,24358443,"Yuen Law Firm 5.0  (1) 
Legal services in Rotterdam, Netherlands",/url?q=https://yuenlawfirm.com/&sa=U&ved=2ahUKEwjDiuSz7uj9AhVFEFkFHTOGDQ0QgU96BAgLEAQ&usg=AOvVaw2f7CrfilqT3sW1ejDFTS9h,"Address: Vasteland 38D, 3011 BM Rotterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 10 225 0290",Legal services,"Vasteland 38D, 3011 BM Rotterdam",Rotterdam
YP Your Partner B.V.,1084429,"YP Your Partner BV 5.0  (3) 
Software company in Drachten, Netherlands",/url?q=https://www.yp-yourpartner.nl/&sa=U&ved=2ahUKEwjcqMKy7uj9AhWZfDABHVKFD1gQgU96BAgKEAQ&usg=AOvVaw1ribS7AVq9__EHjRGm0Vir,"Address: Amp�relaan 1, 9207 AM Drachten, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 512 589 842",Software company,"Amp�relaan 1, 9207 AM Drachten",Drachten
Youwe Commerce B.V.,51792737,"Youwe Rotterdam 4.9  (17) 
Internet marketing service in Rotterdam, Netherlands",/url?q=http://www.youweagency.com/&sa=U&ved=2ahUKEwjW68Sx7uj9AhWyfzABHRoZCNIQgU96BAgLEAQ&usg=AOvVaw3gBGVW_QFWu3_o4jEcV7KM,"Address: HNK Scheepsvaartkwartier 6th floor, Vasteland 54, 3011 BM Rotterdam, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 10 466 8638",Internet market,"HNK Scheepsvaartkwartier 6th floor, Vasteland 54, 3011 BM Rotterdam",Rotterdam
Your Expat Agency B.V.,81068093,"Your Talent Agency 4.9  (10) 
Recruiter in Haarlem, Netherlands",/url?q=https://yourtalent.agency/&sa=U&ved=2ahUKEwj7jf2v7uj9AhVNjLAFHXxQD5kQgU96BAgLEAQ&usg=AOvVaw2YfHewHZ7xWq5KcBdPxnZd,"Address: Hendrik Figeeweg 3G, 17, 2031 BJ Haarlem, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 23 234 0300",Recruiter,"Hendrik Figeeweg 3G, 17, 2031 BJ Haarlem",Haarlem
Young Financials B.V.,34227502,"Young Financials 4.9  (10) 
Recruiter in Amsterdam, Netherlands",/url?q=http://youngfinancials.nl/&sa=U&ved=2ahUKEwiu6Yit7uj9AhWyRDABHTo4DpkQgU96BAgLEAQ&usg=AOvVaw3U0-CrsVQHTlJid475LtWc,"Address: Herengracht 270-d, 1016 BW Amsterdam, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 20 489 2320",Recruiter,"Herengracht 270-d, 1016 BW Amsterdam",Amsterdam
You Get B.V.,34208037,"You-Get BV 4.4  (11) 
Consultant in Watergang, Netherlands",/url?q=http://www.you-get.com/&sa=U&ved=2ahUKEwjfzJGs7uj9AhULEVkFHZ-1CVsQgU96BAgMEAQ&usg=AOvVaw0H8bQk8aJ8x2zKNKhKLH9D,"Address: Dorpsstraat 55, 1454 AM Watergang, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 20 737 0276",Consultant,"Dorpsstraat 55, 1454 AM Watergang",Watergang
Yorteam B.V.,52208702,"YorTeam - IT Recruitment 3.8  (11) 
Recruiter in Amsterdam, Netherlands",/url?q=http://www.yorteam.nl/&sa=U&ved=2ahUKEwjwj42r7uj9AhWAD1kFHWPNDKoQgU96BAgKEAQ&usg=AOvVaw1v7sVP7at2OYTMfd1PXNHr,"Address: Overschiestraat 63, 1062 XD Amsterdam, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 20 521 8720",Recruiter,"Overschiestraat 63, 1062 XD Amsterdam",Amsterdam
Yolt Group B.V.,76885925,"Yolt 4.1  (7) 
Corporate office",,"Address: Hoogoorddreef 60, 1101 BE Amsterdam, Netherlands",Corporate office,"Hoogoorddreef 60, 1101 BE Amsterdam",Amsterdam
Yokogawa Europe Solutions B.V.,33241208,"Yokogawa Europe B.V. 4.0  (5) 
Industrial equipment supplier in Amersfoort, Netherlands",/url?q=http://www.yokogawa.com/eu/&sa=U&ved=2ahUKEwj1wb2o7uj9AhWYFVkFHfpVBrkQgU96BAgMEAQ&usg=AOvVaw0hJ3QTClhl8XLJ-sLSnfIo,"Address: Euroweg 2, 3825 HD Amersfoort, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 88 464 1000",Industrial equipment supplier,"Euroweg 2, 3825 HD Amersfoort",Amersfoort
Yokogawa Europe B.V.,31024364,"Yokogawa Europe B.V. 4.0  (5) 
Industrial equipment supplier in Amersfoort, Netherlands",/url?q=http://www.yokogawa.com/eu/&sa=U&ved=2ahUKEwishP-n7uj9AhWWMlkFHbE0A8UQgU96BAgKEAQ&usg=AOvVaw2kjNaHSBkn3dyRczYERp7-,"Address: Euroweg 2, 3825 HD Amersfoort, NetherlandsHours: Closed ⋅ Opens 9 AM MonPhone: +31 88 464 1000",Industrial equipment supplier,"Euroweg 2, 3825 HD Amersfoort",Amersfoort
Yoast B.V.,55404367,"Yoast BV 4.6  (23) 
Software company in Wijchen, Netherlands",/url?q=https://yoast.com/&sa=U&ved=2ahUKEwiO97in7uj9AhV0FlkFHdBnAugQgU96BAgMEAQ&usg=AOvVaw0NfETtYLzdZ1hC4WJxgI7x,"Address: Don Emanuelstraat 3, 6602 GX Wijchen, NetherlandsHours: Open 24 hoursPhone: +31 24 820 0337",Software company,"Don Emanuelstraat 3, 6602 GX Wijchen",Wijchen
Ynvolve B.V.,9164735,"Ynvolve B.V. 4.9  (25) 
Wholesaler in Nijmegen, Netherlands",/url?q=https://www.ynvolve.com/&sa=U&ved=2ahUKEwiWrf2m7uj9AhXURjABHUkBA6kQgU96BAgLEAQ&usg=AOvVaw0bkamIIe1kjkWieEKeSoNl,"Address: Rondweg 29, 6515 AS Nijmegen, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 24 348 8260",Wholesaler,"Rondweg 29, 6515 AS Nijmegen",Nijmegen
Yili Innovation Center Europe B.V.,59903562,"Yili Innovation Center Europe 5.0  (1) 
Food manufacturer",/url?q=https://www.yili-innovation.com/&sa=U&ved=2ahUKEwiVxYml7uj9AhWlVDUKHSGnCSsQgU96BAgMEAQ&usg=AOvVaw1xK2zzNZROFUdiTQsfRE0I,"Address: Bronland 12 E-1, 6708 WH Wageningen, NetherlandsPhone: +31 85 044 1190",Food manufacturer,"Bronland 12 E-1, 6708 WH Wageningen",Wageningen
Yenlo Nederland B.V.,61417025,"Yenlo Nederland B.V. 4.7  (17) 
Computer consultant in Schiphol-Rijk, Netherlands",/url?q=http://www.yenlo.com/&sa=U&ved=2ahUKEwjd8e-g7uj9AhX7EFkFHU0KC3QQgU96BAgLEAQ&usg=AOvVaw1Yed9PTtGoEKipagat6KyJ,"Address: Beechavenue 16, 1119 PT Schiphol-Rijk, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 20 270 0700",Computer consultant,"Beechavenue 16, 1119 PT Schiphol-Rijk",Schiphol-Rijk
Yellowtail Control Solutions B.V.,75464861,"Yellowtail Conclusion 4.5  (8) 
Software company in Naarden, Netherlands",/url?q=https://yellowtail.nl/&sa=U&ved=2ahUKEwjstbSg7uj9AhX9FVkFHWB6AHAQgU96BAgKEAQ&usg=AOvVaw3xgGyJVnCMo762oF5p7rX_,"Address: Gooimeer 6-01, 1411 DD Naarden, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 35 524 8900",Software company,"Gooimeer 6-01, 1411 DD Naarden",Naarden
Yellowtail B.V.,34186479,"Yellowtail Conclusion 4.5  (8) 
Software company in Naarden, Netherlands",/url?q=https://yellowtail.nl/&sa=U&ved=2ahUKEwjBxvyf7uj9AhXoSjABHc6KDPsQgU96BAgLEAQ&usg=AOvVaw1HO4gzAChNJtR1Xh8EpX6X,"Address: Gooimeer 6-01, 1411 DD Naarden, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 35 524 8900",Software company,"Gooimeer 6-01, 1411 DD Naarden",Naarden
Yellowstone Contract Management B.V.,17214486,"Yellowstone International B.V. 4.2  (5) 
Corporate office",/url?q=http://yellowstone.nl/&sa=U&ved=2ahUKEwimqYOf7uj9AhX7FlkFHdeeAU0QgU96BAgLEAQ&usg=AOvVaw22xRdVZfppVfZn3wt5TFXJ,"Address: Beemdstraat 5, 5653 MA Eindhoven, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 40 238 0216",Corporate office,"Beemdstraat 5, 5653 MA Eindhoven",Eindhoven
Yaskawa Benelux B.V.,20087925,"Yaskawa Benelux B.V. 5.0  (2) 
Industrial equipment supplier in Eindhoven, Netherlands",/url?q=https://www.yaskawa.nl/&sa=U&ved=2ahUKEwikmJec7uj9AhUmFVkFHQ_MCUUQgU96BAgMEAQ&usg=AOvVaw1JRVCOkWWurli1iAc0NVu3,"Address: Brainport Industries, Campus 1, 5657 BX Eindhoven, NetherlandsHours: Closed ⋅ Opens 8:30 AM MonPhone: +31 40 289 5500",Industrial equipment supplier,"Brainport Industries, Campus 1, 5657 BX Eindhoven",Eindhoven
Yash Technologies B.V.,57269904,"YASH Technologies BV 5.0  (4) 
Software company in Amsterdam, Netherlands",/url?q=http://www.yash.com/nl/&sa=U&ved=2ahUKEwjwgN6b7uj9AhUgD1kFHS_GA9wQgU96BAgMEAQ&usg=AOvVaw2H18X8bq-vjuk-VlfJ4hq7,"Address: Prinsengracht 697 -2, 1017 JV Amsterdam, NetherlandsHours: Closed ⋅ Opens 8 AM MonPhone: +31 20 205 0104",Software company,"Prinsengracht 697 -2, 1017 JV Amsterdam",Amsterdam
Yardi Systems B.V.,34198925,"Yardi Systems BV 4.5  (2) 
Software company in Amsterdam, Netherlands",/url?q=http://www.yardi.com/&sa=U&ved=2ahUKEwjd7Kib7uj9AhXgEVkFHUzPD3UQgU96BAgMEAQ&usg=AOvVaw3byHgn0zMyyFNFsUDEW4aG,"Address: Vesta Building, Herikerbergweg 195, 1101 CM Amsterdam, NetherlandsPhone: +31 20 565 0050",Software company,"Vesta Building, Herikerbergweg 195, 1101 CM Amsterdam",Amsterdam
